"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14087884","JK120473","01/18/2026 04:00:00 PM","001XX E RANDOLPH ST","0870","THEFT","POCKET-PICKING","SIDEWALK","false","false","0114","001","42","32","06","1177667","1901228","2026","01/26/2026 03:42:39 PM","41,884296382","-87,623038828","POINT (-87.623038828 41.884296382)"
"14087695","JK120730","01/18/2026 04:00:00 PM","008XX N AVERS AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT","false","false","1112","011","27","23","05","1150568","1905382","2026","01/26/2026 03:42:39 PM","41,89626777","-87,722441279","POINT (-87.722441279 41.89626777)"
"14087147","JK120182","01/18/2026 04:00:00 PM","051XX S KENNETH AVE","0560","ASSAULT","SIMPLE","APARTMENT","false","true","0815","008","23","57","08A","1147567","1870101","2026","01/26/2026 03:42:39 PM","41,799510199","-87,73436726","POINT (-87.73436726 41.799510199)"
"14088793","JK122076","01/18/2026 04:00:00 PM","0000X E BELLEVUE PL","0890","THEFT","FROM BUILDING","RESTAURANT","false","false","1824","018","42","8","06","1176461","1907515","2026","01/26/2026 03:42:39 PM","41,901575537","-87,627277377","POINT (-87.627277377 41.901575537)"
"14087347","JK120417","01/18/2026 04:00:00 PM","027XX W NORTH AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","1421","014","26","24","07","1157972","1910527","2026","01/26/2026 03:42:39 PM","41,9102382","-87,695107123","POINT (-87.695107123 41.9102382)"
"14088308","JK121778","01/18/2026 03:47:00 PM","030XX S ARCHER AVE","0810","THEFT","OVER $500","APARTMENT","false","false","0913","009","11","60","06","1167335","1884989","2026","01/26/2026 03:42:39 PM","41,839963582","-87,661445613","POINT (-87.661445613 41.839963582)"
"14087941","JK121106","01/18/2026 03:45:00 PM","020XX S CALIFORNIA AVE","0810","THEFT","OVER $500","CTA BUS STOP","false","false","1023","010","25","30","06","1158011","1890080","2026","01/26/2026 03:42:39 PM","41,854128907","-87,695522101","POINT (-87.695522101 41.854128907)"
"14087064","JK119938","01/18/2026 03:42:00 PM","067XX S LANGLEY AVE","041A","BATTERY","AGGRAVATED - HANDGUN","ALLEY","false","false","0321","003","6","42","04B","1182053","1860529","2026","01/26/2026 03:42:39 PM","41,77251473","-87,608194615","POINT (-87.608194615 41.77251473)"
"14086928","JK119942","01/18/2026 03:40:00 PM","126XX S STEWART AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","STREET","false","false","0523","005","9","53","04A","1175927","1821202","2026","01/26/2026 03:42:39 PM","41,664735608","-87,631825316","POINT (-87.631825316 41.664735608)"
"14086951","JK119926","01/18/2026 03:36:00 PM","046XX W DIVERSEY AVE","0520","ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","DEPARTMENT STORE","true","false","2521","025","31","20","04A","1144944","1918212","2026","01/26/2026 03:42:39 PM","41,931582647","-87,742772889","POINT (-87.742772889 41.931582647)"
"14087089","JK119945","01/18/2026 03:35:00 PM","051XX S HARPER AVE","0498","BATTERY","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY","APARTMENT","true","true","0234","002","4","41","04B","1187157","1871277","2026","01/26/2026 03:42:39 PM","41,801888471","-87,589144017","POINT (-87.589144017 41.801888471)"
"14088685","JK122411","01/18/2026 03:30:00 PM","065XX W DIVERSEY AVE","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","APARTMENT","false","false","2511","025","36","19","11","1132106","1917896","2026","01/26/2026 03:42:39 PM","41,930948469","-87,789958559","POINT (-87.789958559 41.930948469)"
"14086930","JK119975","01/18/2026 03:30:00 PM","089XX S PARNELL AVE","0460","BATTERY","SIMPLE","STREET","false","false","2223","022","21","71","08B","1174200","1845676","2026","01/26/2026 03:42:39 PM","41,731934344","-87,637421735","POINT (-87.637421735 41.731934344)"
"14086957","JK120049","01/18/2026 03:30:00 PM","008XX N HERMITAGE AVE","0810","THEFT","OVER $500","RESIDENCE - GARAGE","false","false","1213","012","1","24","06","1164579","1905622","2026","01/26/2026 03:42:39 PM","41,896641063","-87,670974752","POINT (-87.670974752 41.896641063)"
"14086933","JK119939","01/18/2026 03:29:00 PM","0000X W 95TH ST","2028","NARCOTICS","POSSESS - SYNTHETIC DRUGS","CTA STATION","true","false","0511","005","9","49","18","1177703","1841947","2026","01/26/2026 03:42:39 PM","41,721623049","-87,624701342","POINT (-87.624701342 41.721623049)"
"14086907","JK119913","01/18/2026 03:25:00 PM","038XX S DR MARTIN LUTHER KING JR DR","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","true","false","0212","002","4","35","06","1179489","1879516","2026","01/26/2026 03:42:39 PM","41,824675709","-87,617013434","POINT (-87.617013434 41.824675709)"
"14086996","JK119947","01/18/2026 03:15:00 PM","001XX W MADISON ST","0440","BATTERY","AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY","CTA BUS STOP","true","false","0122","001","34","32","08B","1174945","1900351","2026","01/26/2026 03:42:39 PM","41,881951231","-87,633060512","POINT (-87.633060512 41.881951231)"
"14086935","JK119903","01/18/2026 03:15:00 PM","025XX E 103RD ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","false","false","0434","004","7","51","15","1194931","1837183","2026","01/27/2026 03:41:24 PM","41,708143704","-87,561755623","POINT (-87.561755623 41.708143704)"
"14087921","JK120445","01/18/2026 03:12:00 PM","049XX S KEDZIE AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","false","false","0821","008","14","63","06","1155878","1871677","2026","01/26/2026 03:42:39 PM","41,803671998","-87,703846021","POINT (-87.703846021 41.803671998)"
"14088549","JK122180","01/18/2026 03:06:00 PM","030XX W WASHINGTON BLVD","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","false","true","1222","012","27","27","11","1156137","1900528","2026","01/26/2026 03:42:39 PM","41,882837304","-87,702118463","POINT (-87.702118463 41.882837304)"
"14086896","JK119910","01/18/2026 03:03:00 PM","025XX E 76TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0421","004","7","43","14","1194419","1855061","2026","01/26/2026 03:42:39 PM","41,757215086","-87,563044633","POINT (-87.563044633 41.757215086)"
"14086886","JK119900","01/18/2026 03:01:00 PM","033XX W CHICAGO AVE","2027","NARCOTICS","POSSESS - CRACK","STREET","true","false","1121","011","27","23","18","1154057","1905136","2026","01/26/2026 03:42:39 PM","41,895523838","-87,709633349","POINT (-87.709633349 41.895523838)"
"14087476","JK120667","01/18/2026 03:00:00 PM","014XX W 71ST ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0734","007","17","67","07","1167707","1857656","2026","01/26/2026 03:42:39 PM","41,764950736","-87,660865251","POINT (-87.660865251 41.764950736)"
"14088149","JK121426","01/18/2026 03:00:00 PM","029XX S MICHIGAN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0133","001","4","35","07","1177726","1885751","2026","01/26/2026 03:42:39 PM","41,841825184","-87,623292218","POINT (-87.623292218 41.841825184)"
"14087898","JK120762","01/18/2026 03:00:00 PM","0000X E Oak St","0860","THEFT","RETAIL THEFT","OTHER (SPECIFY)","false","false","1833","018","42","8","06","1176321","1907214","2026","01/26/2026 03:42:39 PM","41,900752739","-87,627800699","POINT (-87.627800699 41.900752739)"
"14088122","JK121370","01/18/2026 03:00:00 PM","002XX S CANAL ST","0281","CRIMINAL SEXUAL ASSAULT","NON-AGGRAVATED","OTHER RAILROAD PROPERTY / TRAIN DEPOT","false","false","0121","001","42","28","02","1173178","1899203","2026","01/26/2026 03:42:39 PM","41,878840427","-87,639582928","POINT (-87.639582928 41.878840427)"
"14088027","JK120777","01/18/2026 03:00:00 PM","053XX W MADISON ST","041A","BATTERY","AGGRAVATED - HANDGUN","ALLEY","false","false","1522","015","37","25","04B","1140937","1899509","2026","01/26/2026 03:42:39 PM","41,880334264","-87,757959152","POINT (-87.757959152 41.880334264)"
"14088336","JK121851","01/18/2026 03:00:00 PM","020XX W 80TH PL","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0611","006","18","71","14","1164126","1851270","2026","01/26/2026 03:42:39 PM","41,747502713","-87,674170027","POINT (-87.674170027 41.747502713)"
"14092635","JK127184","01/18/2026 03:00:00 PM","053XX W MONTROSE AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","VEHICLE NON-COMMERCIAL","false","false","1624","016","45","15","06","1140004","1928739","2026","01/27/2026 03:41:24 PM","41,960561692","-87,760668345","POINT (-87.760668345 41.960561692)"
"14089481","JK123234","01/18/2026 03:00:00 PM","028XX W DIVISION ST","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","1211","012","26","24","06","1157293","1907855","2026","01/26/2026 03:42:39 PM","41,902919845","-87,69767425","POINT (-87.69767425 41.902919845)"
